trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,1.0062391246042275,COMPLETE,119.51758,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.918287951291923,COMPLETE,104.053533,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.9238049849296723,COMPLETE,240.878365,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,1.166156129673874,PRUNED,74.341505,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.8722652175053172,COMPLETE,156.5044,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.9443676700236678,PRUNED,61.732978,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.926339505258235,COMPLETE,120.814973,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.9458553181810597,PRUNED,62.637175,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,1.194964620839445,PRUNED,46.441457,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,1.3453506915388402,PRUNED,226.073952,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.8923641319601248,PRUNED,50.577959,0.00010035013673682534,4,1,0.14856465280080783,0.0006164271029098715,16,2,0.10583376493432543
11,1.025435897323531,PRUNED,64.692857,1.0324857099453026e-05,2,4,0.11643051819373243,4.490710481010144e-05,64,1,0.00609065299940423
12,1.0844357087851288,COMPLETE,283.615133,0.00048637782436313247,8,16,0.10197846920832809,0.0022092365782719918,16,2,0.17251441525007202
13,0.993380477005367,PRUNED,135.896924,0.00043621528859799717,4,8,0.05351543038530586,0.019585476455583246,16,2,0.15748407171298745
14,0.9435319388172665,PRUNED,65.624117,1.44014917698258e-05,2,4,0.08117518937943367,2.6885027749291015e-05,64,1,0.11173520731886423
15,0.9385288890830308,PRUNED,124.659753,0.0005491828466251751,4,4,0.09323052425815871,0.0005803161204266025,64,2,0.16183864674909326
16,0.9443066527711035,PRUNED,37.451848,2.3275067624313216e-05,4,1,0.07429400723446515,0.010670998955772044,32,1,0.13954882372101082
17,0.8965611774378464,PRUNED,75.165414,0.0003108084382126054,4,2,0.03193945682597788,0.0001948844348564056,16,2,0.14509194353644042
18,1.2485647779803755,PRUNED,37.178439,6.190367840981388e-06,4,1,0.14290025604337492,1.2935900807363686e-05,32,1,0.013938679847639749
19,0.8942066088953112,PRUNED,49.983783,3.783271854066868e-05,4,1,0.08672679965508262,0.0023104754234289236,16,4,0.19770350421621932
20,0.8681364341708205,COMPLETE,156.169866,0.000598779897793758,4,1,0.08295967346230027,0.04774885261208653,8,2,0.09436221435869979
21,0.8773001154673892,PRUNED,86.502447,0.0009184014922407851,4,1,0.061314798947149717,0.054172974109551235,8,2,0.11794491410834823
22,0.8910205528646166,PRUNED,45.190124,5.112992892524277e-05,4,1,0.07986478857746906,0.031132268347174037,16,4,0.07430673168442048
23,0.8743164188919273,PRUNED,68.287377,9.57748524954343e-05,2,1,0.10599222549427506,0.014093452743902616,16,2,0.17060182693766604
24,1.0563116360357587,COMPLETE,165.763116,6.96636791526478e-05,4,16,0.14536176693361347,0.022083269817486005,8,2,0.1260779256234715
25,0.9413878463786859,PRUNED,78.647132,0.0005927152439211147,4,4,0.07543157057914873,0.059957246437214506,32,2,0.07729774482627365
26,0.8987302777093428,PRUNED,71.358926,0.0006300818108950405,8,1,0.1283261753069721,0.014677582767280224,8,2,0.09387906117265678
27,0.8663248918610222,COMPLETE,155.908515,0.00047223489044311804,4,1,0.01897715109425406,0.001889167242538729,32,2,0.13364701475433918
28,1.078389284373064,COMPLETE,164.581659,0.0006421679571141354,4,16,0.03019049440506201,0.0033542196820120743,32,2,0.1548781556787157
29,0.9187650284461572,PRUNED,31.929494,0.0006110381231515697,2,1,0.0336781051572792,0.00028211848955232715,64,2,0.15403434574327085
