trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.8175108413153577,COMPLETE,289.362246,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.8222366634527887,PRUNED,140.452629,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.8252942408633368,PRUNED,129.203549,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.823683771401127,PRUNED,129.451173,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.7977611776695427,COMPLETE,282.948911,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.812453360161882,PRUNED,203.792652,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.8227160272754541,PRUNED,265.188309,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.8125737386168446,PRUNED,211.102749,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.8242430655903497,PRUNED,85.01235,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.826720258577507,PRUNED,453.822531,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.8064758479354494,PRUNED,78.267688,0.00010035013673682534,4,1,0.14856465280080783,0.0006164271029098715,16,2,0.10583376493432543
11,0.8247670773126762,PRUNED,147.239852,0.0001560309917194235,4,4,0.0628684245890712,0.02427611953573062,16,2,0.15591246320970692
12,0.8243179035028411,PRUNED,267.263182,0.00013648721732312978,2,8,0.09135699312815757,4.4289985247691255e-05,8,4,0.14311750526387737
13,0.8262881023893711,PRUNED,265.804983,1.3056056237065845e-05,2,8,0.18440052473006682,0.00018161269202707925,8,1,0.0837908449192346
14,0.8247575115136816,COMPLETE,302.452845,0.0001229621885383027,2,8,0.1479903011880145,1.4049851248365425e-05,8,4,0.029759124799810584
15,0.8266832808772281,PRUNED,49.746868,1.3705925427811388e-06,2,1,0.12625595780654433,5.060437681117239e-05,8,4,0.0818757451651603
16,0.8088819176649379,PRUNED,77.231671,2.3275067624313216e-05,4,1,0.07429400723446515,0.010670998955772044,32,1,0.13954882372101082
17,0.8123125905032496,PRUNED,129.362263,0.0003108084382126054,4,2,0.03193945682597788,0.0001948844348564056,16,2,0.14509194353644042
18,0.8186888123909265,PRUNED,457.673472,4.37434524479997e-06,8,8,0.17592278534530248,1.7820674069205647e-05,64,4,0.02776256751051752
19,0.8156924378583652,PRUNED,74.858505,0.0006185602229802302,2,1,0.12943808549420283,0.017768554591351248,16,2,0.17280296156117586
20,0.8088714839874984,PRUNED,78.074218,0.000598779897793758,4,1,0.08295967346230027,0.04774885261208653,8,2,0.09436221435869979
21,0.8152195127707254,PRUNED,145.805047,0.00016592388701073448,2,4,0.19049043542657415,5.570808971614201e-05,64,4,0.010235980632822897
22,0.8195425706448904,PRUNED,266.356084,4.852711402638907e-05,2,8,0.07784903554063141,0.00012362724778868002,8,4,0.02155139703389436
23,0.8231230521352362,PRUNED,274.218838,5.254773210375681e-05,4,8,0.1922507999532308,1.1386081631808192e-05,8,4,0.09537413341146066
24,0.8178673963982842,PRUNED,267.45506,6.712353825366828e-05,2,8,0.1660495092541804,8.33859416606858e-05,16,2,0.013697104489925518
25,0.8207999306479349,PRUNED,83.963199,2.618706785194367e-05,2,2,0.17574768617012798,5.3742661821833544e-05,8,4,0.06568940080213806
26,0.8432685685350411,COMPLETE,331.196272,0.000753217784863786,2,16,0.11785262603296558,5.4444890377122436e-05,8,4,0.017437378437979656
27,0.8201050200394063,PRUNED,50.359479,0.0006406442576370467,4,1,0.0735980186033412,0.0013863913903132317,16,4,0.15383192078495792
28,0.8117135742717912,PRUNED,116.010426,7.780079707414102e-05,8,1,0.08493242978255375,0.0061706573330125285,16,2,0.1397999782355843
29,0.7967354320229483,COMPLETE,282.395547,0.00020986449221531314,4,1,0.015435621403515759,0.011717816987767596,16,2,0.1304031685263773
30,0.8167889769463063,PRUNED,50.346508,0.0007581640777964556,4,1,0.017401516372347867,0.010846547866935048,16,2,0.0989575377282918
31,0.8270629084692145,PRUNED,268.630494,0.0001150407206357347,2,8,0.13789409105681616,1.0994268343800062e-05,64,4,0.07738763188235129
32,0.8244768974831634,PRUNED,267.814964,8.65712530762951e-06,2,8,0.16276301759324274,1.9396583490378083e-05,8,4,0.06983374625416185
33,0.8226251341745585,PRUNED,266.747635,0.0001249735408769447,2,8,0.16781564908347085,1.369623895322203e-05,8,4,0.03435881106389012
34,0.7998543811594295,PRUNED,154.86573,9.3983078109848e-05,4,1,0.070349394997736,0.005869844957578191,64,2,0.15047161278673285
35,0.8511463293207363,COMPLETE,338.03501,0.0001539702594813761,4,16,0.07118345231624311,0.0016104650858052966,32,2,0.13323116543125169
36,0.8131360574356151,PRUNED,202.091449,7.288204899519631e-05,2,4,0.12129541801151786,1.4794182379380547e-05,8,2,0.04339237937190655
37,0.8243381630051125,PRUNED,263.345265,1.0670778320020809e-05,2,8,0.11649008149598672,1.69496230962916e-05,8,2,0.1439527327755719
38,0.8122674135466896,PRUNED,74.395418,0.0007055464430511041,2,1,0.010862071234663779,0.01775878474788117,8,2,0.15820177280694508
39,0.8262579821670252,COMPLETE,328.018353,6.944142131176102e-06,2,16,0.1446262503716164,2.211786298078582e-05,8,4,0.10976513297621084
40,0.8023652075318726,PRUNED,149.958798,6.327965348237074e-05,4,1,0.008474020039455049,0.04200193229878534,16,2,0.1669517947993864
41,0.8266709099510161,COMPLETE,337.572943,2.0994923808353666e-06,4,16,0.13307132406171304,3.7490100518415215e-05,8,4,0.1468347891460569
42,0.8287654833605754,COMPLETE,558.593164,3.950375905185892e-05,8,16,0.19118152506729968,2.0003279558485425e-05,32,4,0.09816648658149707
43,0.8214748271465407,COMPLETE,319.86159,7.38923532486782e-06,2,16,0.18721087695624208,3.1018649121097775e-05,64,4,0.149144835848598
44,0.8228593093915302,PRUNED,80.413659,3.0935322040117823e-06,2,2,0.15563192030911407,1.9508772126658736e-05,64,4,0.15525579664437342
45,0.8189781682424604,COMPLETE,330.846447,1.0412749284892076e-05,2,16,0.1770056560657119,0.00011168087634768366,64,4,0.16160934613343453
46,0.8260064167372192,COMPLETE,325.029792,1.2473714142362184e-06,2,16,0.13313373102802523,0.0008975785476444274,64,4,0.15487374611317098
47,0.8219377440535662,COMPLETE,321.366289,2.262553948124373e-05,2,16,0.16111134358458806,6.816161281589125e-05,64,1,0.1380700573748452
48,0.8171658523167649,PRUNED,145.327487,2.6497319131972144e-05,4,4,0.14424995359385334,2.0619162822983578e-05,64,4,0.14030936085576073
49,0.8230635073440838,COMPLETE,332.467733,4.678554581958678e-06,2,16,0.16563976393897836,2.6447039570802733e-05,64,4,0.15875633173458517
