trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.7452582981878614,COMPLETE,483.725884,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.7455350669878116,PRUNED,209.16067,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.7521052478885679,PRUNED,322.84877,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.7462845931531082,PRUNED,323.132015,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.7264450731327892,COMPLETE,702.143561,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.7414011874785345,COMPLETE,403.813259,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.7495722923042595,PRUNED,384.175303,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.7394459034939435,PRUNED,218.173526,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.7474064459251855,PRUNED,188.459948,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.7491595716404161,PRUNED,1190.033515,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.730713328591792,PRUNED,382.434892,0.00010035013673682534,4,1,0.14856465280080783,0.0006164271029098715,16,2,0.10583376493432543
11,0.7415286519189843,PRUNED,336.716241,3.469179143049066e-05,2,4,0.15184123216766943,0.0008327363684451742,16,4,0.1600612464707676
12,0.7361418553589612,PRUNED,184.050773,0.00010271132372051372,4,1,0.05551225469750732,0.04553029122232943,16,4,0.15534237588880123
13,0.7416290590388375,PRUNED,124.567547,0.0004396730299788577,4,1,0.03215654021713137,0.004822296813859719,8,2,0.18716733662748655
14,0.7373147700013595,PRUNED,177.788985,0.00010291977366347655,4,1,0.12474039675354415,0.08989558971383842,64,2,0.18276123693425822
15,0.7412809215888694,PRUNED,346.351462,8.903047551258141e-05,2,4,0.16557747562790825,1.079556630196311e-05,16,1,0.14259980916659937
