trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.7070458643205055,COMPLETE,1468.795867,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.7134959737931051,PRUNED,659.602704,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.6809622930700554,COMPLETE,2807.702109,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.7148895128860603,PRUNED,680.384429,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.6929048066833926,PRUNED,232.713343,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.7043471897387884,PRUNED,681.380242,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.688431230696802,COMPLETE,1540.596884,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.7060292531006134,PRUNED,659.651573,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.7153110400922658,PRUNED,420.729232,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.7175402276569838,PRUNED,2604.961805,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.6930828407056668,PRUNED,687.06432,7.056739731168899e-05,8,2,0.16923953377342948,0.00020367982310055276,16,4,0.030530326553944477
11,0.6897900362988426,COMPLETE,1540.567935,5.38512541219244e-05,2,8,0.03346838915845432,2.4063826843067284e-05,32,1,0.11087805841736141
12,0.6867399727897952,PRUNED,1204.36859,6.567126207998567e-05,8,2,0.08691582857696556,0.019591119636884174,16,4,0.05262124961148721
13,0.6877781727401772,COMPLETE,1534.149273,3.8411072383832274e-05,2,8,0.019547987305499642,3.334911776586593e-05,64,4,0.02247270340676289
14,0.6833575157214024,COMPLETE,1807.368917,7.074646754620824e-05,4,8,0.005649975285337276,0.000322213740745587,64,4,0.0775713723701538
15,0.6932559161412646,PRUNED,1510.98586,0.00033967209085623357,4,8,0.05308296346956484,4.5633164586071654e-05,64,4,0.10343602378657657
16,0.698997508369081,COMPLETE,1917.196499,1.2612190274272716e-05,4,16,0.06839374943034374,0.00042389659640679265,64,4,0.09769525331171601
