trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.6931113240032357,COMPLETE,1764.548868,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.7213543388870887,PRUNED,838.272545,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.6083781207967395,COMPLETE,4844.490028,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.7292914796789828,PRUNED,1293.583335,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.6372294949170312,PRUNED,444.811835,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.6649732306070977,PRUNED,806.219151,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.6203610808606099,COMPLETE,1734.877565,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.6770591384628711,PRUNED,793.199305,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.7337309056649229,PRUNED,752.756389,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.7488770581106811,PRUNED,4742.527335,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.6396721594725417,PRUNED,1298.459778,7.056739731168899e-05,8,2,0.16923953377342948,0.00020367982310055276,16,4,0.030530326553944477
11,0.6261883056356952,COMPLETE,1731.839226,5.38512541219244e-05,2,8,0.03346838915845432,2.4063826843067284e-05,32,1,0.11087805841736141
