trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.8069970785408589,COMPLETE,165.350761,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.8004367117452003,COMPLETE,141.954092,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.8080557720338646,PRUNED,92.844609,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.8079156784372422,PRUNED,94.866043,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.7735667370565813,COMPLETE,205.699991,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.7984026409393761,PRUNED,119.736622,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.8081566140615567,PRUNED,148.026287,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.7993447390314484,PRUNED,122.649437,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.8088323476223545,PRUNED,61.405739,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.8130623514079071,PRUNED,320.975712,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.7849642004020274,PRUNED,58.820912,0.00010035013673682534,4,1,0.14856465280080783,0.0006164271029098715,16,2,0.10583376493432543
11,0.8037596097948121,PRUNED,84.997618,1.0324857099453026e-05,2,4,0.11643051819373243,4.490710481010144e-05,64,1,0.00609065299940423
12,0.8808722322554003,COMPLETE,397.12506,0.00048637782436313247,8,16,0.10197846920832809,0.0022092365782719918,16,2,0.17251441525007202
13,0.8182229481364083,PRUNED,184.849758,0.00043621528859799717,4,8,0.05351543038530586,0.019585476455583246,16,2,0.15748407171298745
14,0.7991825944484395,PRUNED,123.67184,1.44014917698258e-05,2,4,0.08117518937943367,2.6885027749291015e-05,64,1,0.11173520731886423
15,0.8180149038323968,PRUNED,103.38031,0.0005491828466251751,4,4,0.09323052425815871,0.0005803161204266025,64,2,0.16183864674909326
16,0.7937630000004811,PRUNED,57.875504,2.3275067624313216e-05,4,1,0.07429400723446515,0.010670998955772044,32,1,0.13954882372101082
17,0.7895497187898439,PRUNED,93.578543,0.0003108084382126054,4,2,0.03193945682597788,0.0001948844348564056,16,2,0.14509194353644042
18,0.8113460369971796,PRUNED,40.126317,6.190367840981388e-06,4,1,0.14290025604337492,1.2935900807363686e-05,32,1,0.013938679847639749
19,0.7792118939639794,PRUNED,112.06739,3.783271854066868e-05,4,1,0.08672679965508262,0.0023104754234289236,16,4,0.19770350421621932
20,0.7933732171961709,PRUNED,57.766882,0.000598779897793758,4,1,0.08295967346230027,0.04774885261208653,8,2,0.09436221435869979
21,0.8113070381679149,PRUNED,149.077328,4.692968042253225e-06,2,8,0.15768788071486253,5.5864465466949854e-05,8,4,0.0880759602440665
22,0.812400910824631,PRUNED,148.777193,8.673767576116589e-05,2,8,0.08995063581703748,6.59871213318893e-05,8,2,0.061328057575065015
