trial_number,val_bpb,state,duration_seconds,learning_rate,batch_size,gradient_accumulation_steps,warmup_ratio,weight_decay,lora_r,lora_alpha_multiplier,lora_dropout
0,0.7006525138832663,COMPLETE,582.898169,1.329291894316217e-05,2,8,0.1416145155592091,1.2087541473056957e-05,8,4,0.08638900372842316
1,0.7111678313135221,PRUNED,267.664325,7.4763120622522945e-06,2,4,0.1184829137724085,1.5339162591163613e-05,64,1,0.019534422801276777
2,0.6731039400112778,COMPLETE,1576.985054,0.00011290133559092664,8,2,0.10401360423556216,0.0015375920235481753,16,4,0.0176985004103839
3,0.7137230797597324,PRUNED,432.809237,3.87211803217458e-06,8,2,0.02818484499495253,0.016172900811143146,16,2,0.14580143360819747
4,0.6906995136158252,PRUNED,148.56598,0.00020597335357437193,4,1,0.06503666440534941,0.008287522363768155,16,2,0.1541934359909122
5,0.6987971973174396,PRUNED,267.550575,3.0296104428212496e-05,2,4,0.1815132947852186,9.935023909063687e-05,16,4,0.1616240759128834
6,0.6812752358332929,COMPLETE,583.215888,7.947147424653752e-05,2,8,0.022010384905535352,8.160948743089913e-05,32,1,0.023973073466736564
7,0.6986843814803361,PRUNED,264.4268,1.0300196600986763e-05,2,4,0.0994497011784771,0.0001597766235483386,32,4,0.04791237813339449
8,0.7140227679253567,PRUNED,249.598068,2.720724805948669e-06,4,2,0.1264611661187159,0.0034207303670092245,32,4,0.1355128723684565
9,0.7192996078925067,PRUNED,1594.891661,1.1214075785991133e-06,8,8,0.0682132702100517,2.8437674894443664e-05,8,1,0.04837045818009034
10,0.680890092716092,PRUNED,714.461146,7.056739731168899e-05,8,2,0.16923953377342948,0.00020367982310055276,16,4,0.030530326553944477
11,0.6829030178320157,COMPLETE,585.871827,5.38512541219244e-05,2,8,0.03346838915845432,2.4063826843067284e-05,32,1,0.11087805841736141
12,0.6736033964271906,PRUNED,1555.480626,6.567126207998567e-05,8,2,0.08691582857696556,0.019591119636884174,16,4,0.05262124961148721
13,0.6807480508950068,COMPLETE,589.493153,3.8411072383832274e-05,2,8,0.019547987305499642,3.334911776586593e-05,64,4,0.02247270340676289
14,0.6774266071764337,COMPLETE,1019.92877,7.074646754620824e-05,4,8,0.005649975285337276,0.000322213740745587,64,4,0.0775713723701538
15,0.7118519897407486,PRUNED,863.176385,0.00033967209085623357,4,8,0.05308296346956484,4.5633164586071654e-05,64,4,0.10343602378657657
16,0.6924247004815531,COMPLETE,1079.581999,1.2612190274272716e-05,4,16,0.06839374943034374,0.00042389659640679265,64,4,0.09769525331171601
17,0.6773967518577263,COMPLETE,1020.314665,4.6773931144063426e-05,4,8,0.009065736144181233,0.0007385591200341481,64,4,0.06910041141055058
18,0.6870781492385445,PRUNED,236.770432,0.00014737331139048427,8,1,0.09730543800756737,0.0014353357775226433,8,4,0.003632640543822745
19,0.6822334406150901,COMPLETE,1069.692245,0.0007526133305189131,4,16,0.096304405696957,0.010092150889611948,16,4,0.013531927668732867
